Person,userName,fats,carbs,vitamins,proteins,water,Date
Neha Jain,nj,0,50,10,10,0.5,11/1/2017
Neha Jain,nj,0,50,10,10,0.5,11/2/2017
Neha Jain,nj,0,50,10,10,0.5,11/3/2017
Neha Jain,nj,20,50,10,10,0.5,11/4/2017
Neha Jain,nj,20,50,10,10,0.5,11/5/2017
Neha Jain,nj,20,50,10,10,0.5,11/6/2017
Neha Jain,nj,20,50,10,10,0.5,11/7/2017
Neha Jain,nj,20,50,10,10,0.5,11/8/2017
Neha Jain,nj,20,50,10,10,0.8,11/9/2017
Neha Jain,nj,20,50,10,10,0.3,11/10/2017
Neha Jain,nj,20,60,10,10,0.4,11/11/2017
Neha Jain,nj,20,70,10,10,0.3,11/12/2017
Neha Jain,nj,30,80,0,0,0.2,11/13/2017
Neha Jain,nj,40,90,0,0,0.1,11/14/2017
Neha Jain,nj,50,100,0,0,0.1,11/15/2017
Neha Jain,nj,60,110,0,0,0.1,11/16/2017
Neha Jain,nj,70,120,0,0,0.1,11/17/2017
Neha Jain,nj,30,130,0,0,0.1,11/18/2017
Neha Jain,nj,30,140,0,0,0.5,11/19/2017
Ankush Deora,ank,20,80,20,10,0.5,11/1/2017
Ankush Deora,ank,30,90,20,10,0.5,11/2/2017
Ankush Deora,ank,50,120,0,10,0.5,11/3/2017
Ankush Deora,ank,50,70,0,10,0.5,11/4/2017
Ankush Deora,ank,70,80,0,10,0.5,11/5/2017
Ankush Deora,ank,10,90,0,10,0.5,11/6/2017
Ankush Deora,ank,0,80,0,10,0.5,11/7/2017
Ankush Deora,ank,0,70,0,10,0.5,11/8/2017
Ankush Deora,ank,0,100,20,10,0.8,11/9/2017
Ankush Deora,ank,6,90,20,20,0.3,11/10/2017
Ankush Deora,ank,10,70,20,20,0.4,11/11/2017
Ankush Deora,ank,7,70,20,20,0.3,11/12/2017
Ankush Deora,ank,8,70,20,0,0.2,11/13/2017
Ankush Deora,ank,10,80,10,0,0.1,11/14/2017
Ankush Deora,ank,20,90,10,0,0.1,11/15/2017
